"Label (Grouping)","New York!!Estimate","Bronx County, New York!!Estimate","Kings County, New York!!Estimate","New York County, New York!!Estimate","Queens County, New York!!Estimate","Richmond County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","",""
"    Population 16 years and over","15,615,773","1,063,397","1,984,132","1,379,309","1,827,635","374,998"
"    In labor force","9,912,749","624,200","1,222,026","925,067","1,179,450","219,951"
"        Civilian labor force","9,888,442","623,302","1,219,822","924,189","1,178,901","219,265"
"            Employed","8,913,640","524,948","1,087,107","839,414","1,047,992","199,327"
"            Unemployed","974,802","98,354","132,715","84,775","130,909","19,938"
"        Armed Forces","24,307","898","2,204","878","549","686"
"    Not in labor force","5,703,024","439,197","762,106","454,242","648,185","155,047"
"    Civilian labor force","9,888,442","623,302","1,219,822","924,189","1,178,901","219,265"
"    Percent Unemployed","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,160,137","578,490","1,067,078","740,498","953,643","195,533"
"    In labor force","4,777,005","318,917","605,917","461,327","547,155","101,869"
"        Civilian labor force","4,773,984","318,917","605,770","461,327","547,101","101,869"
"            Employed","4,337,081","267,290","545,920","420,274","486,977","93,743"
"    Own children under 6 years","1,332,843","116,520","199,348","88,611","148,279","33,064"
"    All parents in family in labor force","829,769","73,528","107,961","56,563","87,562","15,535"
"    Own children 6 to 17 years","2,792,267","231,847","362,521","135,053","292,185","73,633"
"    All parents in family in labor force","1,937,071","160,932","224,136","88,847","194,041","43,452"
"COMMUTING TO WORK","","","","","",""
"    Workers 16 years and over","8,723,526","507,594","1,067,431","823,612","1,019,618","197,333"
"    Car, truck, or van -- drove alone","4,741,315","116,801","203,210","54,962","334,393","111,275"
"    Car, truck, or van -- carpooled","602,314","27,217","47,616","16,402","73,493","16,124"
"    Public transportation (excluding taxicab)","2,328,724","302,157","653,059","485,794","514,022","57,559"
"    Walked","542,579","38,166","91,334","173,499","55,220","6,054"
"    Other means","161,522","8,617","21,908","38,360","16,593","1,899"
"    Worked at home","347,072","14,636","50,304","54,595","25,897","4,422"
"    Mean travel time to work (minutes)","31.3","42.9","40.7","30.1","41.1","40.1"
"OCCUPATION","","","","","",""
"    Civilian employed population 16 years and over","8,913,640","524,948","1,087,107","839,414","1,047,992","199,327"
"    Management, business, science, and arts occupations","3,429,241","125,103","386,595","491,821","318,915","78,746"
"    Service occupations","1,777,109","171,799","265,335","118,282","260,212","36,633"
"    Sales and office occupations","2,176,008","125,945","261,452","175,536","260,760","48,487"
"    Natural resources, construction, and maintenance occupations","669,231","40,408","72,273","14,988","88,933","18,218"
"    Production, transportation, and material moving occupations","862,051","61,693","101,452","38,787","119,172","17,243"
"INDUSTRY","","","","","",""
"    Civilian employed population 16 years and over","8,913,640","524,948","1,087,107","839,414","1,047,992","199,327"
"    Agriculture, forestry, fishing and hunting, and mining","57,713","707","1,294","815","1,469","198"
"    Construction","502,090","28,747","59,330","13,183","69,941","14,859"
"    Manufacturing","600,607","18,634","45,713","32,507","47,429","6,854"
"    Wholesale trade","233,847","10,342","26,183","17,896","31,841","2,885"
"    Retail trade","957,810","62,689","103,875","61,992","115,464","20,115"
"    Transportation and warehousing, and utilities","459,582","37,729","64,291","21,740","83,492","13,274"
"    Information","255,604","10,524","41,019","52,409","27,119","5,690"
"    Finance and insurance, and real estate and rental and leasing","738,131","37,711","86,638","135,840","89,668","21,756"
"    Professional, scientific, and management, and administrative and waste management services","977,046","44,030","135,845","156,452","103,950","19,756"
"    Educational services, and health care and social assistance","2,457,616","166,086","310,555","194,262","239,349","57,897"
"    Arts, entertainment, and recreation, and accommodation and food services","771,535","55,189","100,298","90,641","117,255","11,295"
"    Other services, except public administration","465,602","34,473","64,125","36,381","73,766","9,892"
"    Public administration","436,457","18,087","47,941","25,296","47,249","14,856"
"CLASS OF WORKER","","","","","",""
"    Civilian employed population 16 years and over","8,913,640","524,948","1,087,107","839,414","1,047,992","199,327"
"    Private wage and salary workers","6,866,851","412,195","847,601","694,865","829,482","143,677"
"    Government workers","1,485,198","84,141","162,616","79,002","148,817","47,270"
"    Self-employed in own not incorporated business workers","553,872","28,433","75,614","65,030","68,941","8,135"
"    Unpaid family workers","7,719","179","1,276","517","752","245"
"INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","",""
"    Total households","7,196,427","471,912","905,317","726,090","772,332","163,816"
"    Less than $10,000","590,397","79,341","112,296","74,266","56,655","11,750"
"    $10,000 to $14,999","386,574","43,327","62,769","36,539","36,674","6,443"
"    $15,000 to $24,999","758,223","69,249","108,733","66,380","83,630","14,588"
"    $25,000 to $34,999","676,051","52,004","98,284","52,714","78,404","12,204"
"    $35,000 to $49,999","918,960","68,037","126,417","70,985","106,169","15,796"
"    $50,000 to $74,999","1,231,711","73,660","139,200","100,640","146,936","24,979"
"    $75,000 to $99,999","848,756","39,187","88,934","69,353","96,655","21,057"
