"Label (Grouping)","New York!!Estimate","New York!!Percent","Bronx County, New York!!Estimate","Bronx County, New York!!Percent","Kings County, New York!!Estimate","Kings County, New York!!Percent","New York County, New York!!Estimate","New York County, New York!!Percent","Queens County, New York!!Estimate","Queens County, New York!!Percent","Richmond County, New York!!Estimate","Richmond County, New York!!Percent"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Population 16 years and over","16,154,241","16,154,241","1,081,562","1,081,562","2,078,806","2,078,806","1,394,323","1,394,323","1,884,259","1,884,259","398,683","398,683"
"        In labor force","10,145,004","62.8%","624,194","57.7%","1,338,031","64.4%","924,694","66.3%","1,198,110","63.6%","242,202","60.8%"
"            Civilian labor force","10,117,576","62.6%","623,157","57.6%","1,336,919","64.3%","924,123","66.3%","1,196,925","63.5%","241,415","60.6%"
"                Employed","9,600,338","59.4%","563,384","52.1%","1,245,689","59.9%","871,878","62.5%","1,133,349","60.1%","230,991","57.9%"
"                Unemployed","517,238","3.2%","59,773","5.5%","91,230","4.4%","52,245","3.7%","63,576","3.4%","10,424","2.6%"
"            Armed Forces","27,428","0.2%","1,037","0.1%","1,112","0.1%","571","0.0%","1,185","0.1%","787","0.2%"
"        Not in labor force","6,009,237","37.2%","457,368","42.3%","740,775","35.6%","469,629","33.7%","686,149","36.4%","156,481","39.2%"
"    Civilian labor force","10,117,576","10,117,576","623,157","623,157","1,336,919","1,336,919","924,123","924,123","1,196,925","1,196,925","241,415","241,415"
"        Unemployment Rate","(X)","5.1%","(X)","9.6%","(X)","6.8%","(X)","5.7%","(X)","5.3%","(X)","4.3%"
"    Females 16 years and over","8,335,003","8,335,003","580,779","580,779","1,103,807","1,103,807","733,740","733,740","972,914","972,914","204,605","204,605"
"        In labor force","4,916,082","59.0%","319,792","55.1%","668,471","60.6%","454,807","62.0%","565,388","58.1%","115,025","56.2%"
"            Civilian labor force","4,912,661","58.9%","319,792","55.1%","668,352","60.5%","454,807","62.0%","565,248","58.1%","114,500","56.0%"
"                Employed","4,669,935","56.0%","287,066","49.4%","624,391","56.6%","433,825","59.1%","533,445","54.8%","109,578","53.6%"
"    Own children of the householder under 6 years","1,200,854","1,200,854","101,232","101,232","186,186","186,186","74,581","74,581","138,274","138,274","28,624","28,624"
"        All parents in family in labor force","833,827","69.4%","68,352","67.5%","115,738","62.2%","54,717","73.4%","92,496","66.9%","20,132","70.3%"
"    Own children of the householder 6 to 17 years","2,577,046","2,577,046","213,812","213,812","357,152","357,152","139,035","139,035","281,302","281,302","70,739","70,739"
"        All parents in family in labor force","1,862,859","72.3%","149,459","69.9%","224,025","62.7%","97,422","70.1%","201,165","71.5%","50,555","71.5%"
"COMMUTING TO WORK","","","","","","","","","","","",""
"    Workers 16 years and over","9,399,890","9,399,890","542,737","542,737","1,214,602","1,214,602","857,341","857,341","1,102,541","1,102,541","227,451","227,451"
"        Car, truck, or van -- drove alone","4,609,282","49.0%","128,425","23.7%","220,526","18.2%","52,032","6.1%","346,166","31.4%","119,280","52.4%"
"        Car, truck, or van -- carpooled","613,642","6.5%","23,496","4.3%","48,840","4.0%","10,352","1.2%","71,324","6.5%","22,023","9.7%"
"        Public transportation (excluding taxicab)","2,018,120","21.5%","285,862","52.7%","553,199","45.5%","376,774","43.9%","464,141","42.1%","53,016","23.3%"
"        Walked","525,752","5.6%","43,257","8.0%","105,871","8.7%","151,801","17.7%","55,372","5.0%","6,353","2.8%"
"        Other means","273,535","2.9%","19,244","3.5%","56,987","4.7%","55,577","6.5%","36,483","3.3%","3,493","1.5%"
"        Worked from home","1,359,559","14.5%","42,453","7.8%","229,179","18.9%","210,805","24.6%","129,055","11.7%","23,286","10.2%"
"        Mean travel time to work (minutes)","33.0","(X)","43.3","(X)","41.8","(X)","31.2","(X)","44.0","(X)","42.6","(X)"
"OCCUPATION","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,600,338","9,600,338","563,384","563,384","1,245,689","1,245,689","871,878","871,878","1,133,349","1,133,349","230,991","230,991"
"        Management, business, science, and arts occupations","4,409,016","45.9%","162,682","28.9%","601,541","48.3%","566,232","64.9%","445,174","39.3%","94,472","40.9%"
"        Service occupations","1,797,855","18.7%","187,789","33.3%","248,195","19.9%","118,225","13.6%","259,475","22.9%","46,679","20.2%"
"        Sales and office occupations","1,822,086","19.0%","107,121","19.0%","220,480","17.7%","137,645","15.8%","205,827","18.2%","48,570","21.0%"
"        Natural resources, construction, and maintenance occupations","633,254","6.6%","32,686","5.8%","62,604","5.0%","16,006","1.8%","93,312","8.2%","15,659","6.8%"
"        Production, transportation, and material moving occupations","938,127","9.8%","73,106","13.0%","112,869","9.1%","33,770","3.9%","129,561","11.4%","25,611","11.1%"
"INDUSTRY","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","9,600,338","9,600,338","563,384","563,384","1,245,689","1,245,689","871,878","871,878","1,133,349","1,133,349","230,991","230,991"
"        Agriculture, forestry, fishing and hunting, and mining","53,487","0.6%","642","0.1%","551","0.0%","2,049","0.2%","649","0.1%","184","0.1%"
"        Construction","545,675","5.7%","27,009","4.8%","53,292","4.3%","15,531","1.8%","86,262","7.6%","12,876","5.6%"
"        Manufacturing","543,105","5.7%","15,395","2.7%","36,603","2.9%","18,831","2.2%","36,795","3.2%","5,639","2.4%"
"        Wholesale trade","177,093","1.8%","6,902","1.2%","20,403","1.6%","13,244","1.5%","19,662","1.7%","4,070","1.8%"
"        Retail trade","964,908","10.1%","62,731","11.1%","111,338","8.9%","64,171","7.4%","100,794","8.9%","23,628","10.2%"
"        Transportation and warehousing, and utilities","558,089","5.8%","52,426","9.3%","79,788","6.4%","24,210","2.8%","103,562","9.1%","21,093","9.1%"
"        Information","281,486","2.9%","11,551","2.1%","59,083","4.7%","56,734","6.5%","31,098","2.7%","7,216","3.1%"
"        Finance and insurance, and real estate and rental and leasing","769,597","8.0%","30,527","5.4%","95,720","7.7%","137,275","15.7%","91,834","8.1%","17,972","7.8%"
"        Professional, scientific, and management, and administrative and waste management services","1,251,908","13.0%","54,145","9.6%","206,605","16.6%","182,450","20.9%","137,130","12.1%","23,128","10.0%"
"        Educational services, and health care and social assistance","2,748,119","28.6%","201,306","35.7%","346,124","27.8%","211,655","24.3%","300,403","26.5%","76,369","33.1%"
"        Arts, entertainment, and recreation, and accommodation and food services","807,729","8.4%","50,452","9.0%","116,504","9.4%","84,892","9.7%","111,507","9.8%","14,749","6.4%"
"        Other services, except public administration","456,949","4.8%","31,795","5.6%","69,299","5.6%","36,290","4.2%","63,484","5.6%","11,260","4.9%"
