"Label (Grouping)","New York!!Estimate","Albany County, New York!!Estimate","Bronx County, New York!!Estimate","Broome County, New York!!Estimate","Cattaraugus County, New York!!Estimate","Cayuga County, New York!!Estimate","Chautauqua County, New York!!Estimate","Chemung County, New York!!Estimate","Clinton County, New York!!Estimate","Dutchess County, New York!!Estimate","Erie County, New York!!Estimate","Jefferson County, New York!!Estimate","Kings County, New York!!Estimate","Madison County, New York!!Estimate","Monroe County, New York!!Estimate","Nassau County, New York!!Estimate","New York County, New York!!Estimate","Niagara County, New York!!Estimate","Oneida County, New York!!Estimate","Onondaga County, New York!!Estimate","Ontario County, New York!!Estimate","Orange County, New York!!Estimate","Oswego County, New York!!Estimate","Putnam County, New York!!Estimate","Queens County, New York!!Estimate","Rensselaer County, New York!!Estimate","Richmond County, New York!!Estimate","Rockland County, New York!!Estimate","St. Lawrence County, New York!!Estimate","Saratoga County, New York!!Estimate","Schenectady County, New York!!Estimate","Steuben County, New York!!Estimate","Suffolk County, New York!!Estimate","Sullivan County, New York!!Estimate","Tompkins County, New York!!Estimate","Ulster County, New York!!Estimate","Warren County, New York!!Estimate","Wayne County, New York!!Estimate","Westchester County, New York!!Estimate"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","16,085,030","266,793","1,064,629","164,638","61,121","61,718","102,481","66,186","65,792","250,548","778,314","89,797","2,062,593","56,568","615,900","1,124,103","1,406,087","174,041","184,710","381,967","94,251","316,308","98,056","82,480","1,867,832","133,048","399,442","249,675","88,863","199,085","129,502","75,236","1,249,135","64,792","91,530","156,207","55,611","74,588","809,822"
"        In labor force","10,132,536","171,005","631,883","92,978","32,998","36,594","58,889","39,732","37,541","156,580","486,357","59,748","1,340,764","33,561","390,064","712,969","952,432","106,532","107,726","244,607","56,655","204,834","56,547","54,537","1,188,649","85,258","237,579","156,936","46,493","128,214","78,542","43,396","807,549","37,838","54,611","92,346","35,223","45,141","534,914"
"            Civilian labor force","10,107,326","170,535","631,126","92,978","32,998","36,576","58,609","39,732","37,356","156,580","486,168","48,801","1,338,853","33,513","389,945","712,355","952,184","106,252","107,439","243,390","56,655","201,835","56,355","54,380","1,187,361","85,258","237,439","156,936","46,493","127,599","78,311","43,387","806,366","37,838","54,611","92,346","35,223","45,141","534,672"
"                Employed","9,600,693","163,066","572,416","88,446","31,353","35,531","54,990","37,521","36,687","150,187","469,450","46,547","1,260,879","32,135","373,009","683,777","885,608","101,582","102,664","234,438","55,259","191,582","53,217","52,961","1,127,801","81,310","226,623","152,045","45,113","124,500","74,785","41,656","777,239","36,455","52,071","88,002","34,333","44,217","506,360"
"                Unemployed","506,633","7,469","58,710","4,532","1,645","1,045","3,619","2,211","669","6,393","16,718","2,254","77,974","1,378","16,936","28,578","66,576","4,670","4,775","8,952","1,396","10,253","3,138","1,419","59,560","3,948","10,816","4,891","1,380","3,099","3,526","1,731","29,127","1,383","2,540","4,344","890","924","28,312"
"            Armed Forces","25,210","470","757","0","0","18","280","0","185","0","189","10,947","1,911","48","119","614","248","280","287","1,217","0","2,999","192","157","1,288","0","140","0","0","615","231","9","1,183","0","0","0","0","0","242"
"        Not in labor force","5,952,494","95,788","432,746","71,660","28,123","25,124","43,592","26,454","28,251","93,968","291,957","30,049","721,829","23,007","225,836","411,134","453,655","67,509","76,984","137,360","37,596","111,474","41,509","27,943","679,183","47,790","161,863","92,739","42,370","70,871","50,960","31,840","441,586","26,954","36,919","63,861","20,388","29,447","274,908"
"    Civilian labor force","10,107,326","170,535","631,126","92,978","32,998","36,576","58,609","39,732","37,356","156,580","486,168","48,801","1,338,853","33,513","389,945","712,355","952,184","106,252","107,439","243,390","56,655","201,835","56,355","54,380","1,187,361","85,258","237,439","156,936","46,493","127,599","78,311","43,387","806,366","37,838","54,611","92,346","35,223","45,141","534,672"
"        Unemployment Rate","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females 16 years and over","8,315,945","138,828","571,789","84,239","31,200","30,182","51,994","33,481","32,379","127,201","403,536","42,532","1,098,312","29,132","319,822","575,424","740,902","88,874","93,221","199,110","48,027","159,856","49,059","42,194","965,479","66,770","205,559","127,359","43,888","100,924","66,245","38,400","632,681","30,725","47,893","78,767","28,736","37,587","420,182"
"        In labor force","4,927,987","86,113","319,249","43,048","16,199","17,245","28,467","19,644","17,831","77,053","239,709","25,337","676,556","16,664","190,098","335,360","479,021","50,734","52,757","123,275","28,016","95,209","25,717","27,068","561,700","41,046","111,542","74,726","23,601","61,147","37,086","20,870","380,136","17,513","27,568","46,514","17,884","21,435","259,680"
"            Civilian labor force","4,923,928","85,911","318,685","43,048","16,199","17,245","28,467","19,644","17,831","77,053","239,628","24,700","676,154","16,664","190,098","334,931","479,021","50,630","52,741","123,156","28,016","94,504","25,634","27,068","561,407","41,046","111,542","74,726","23,601","60,970","36,855","20,870","380,136","17,513","27,568","46,514","17,884","21,435","259,680"
"                Employed","4,689,308","83,552","287,745","41,800","15,240","16,675","26,554","19,058","17,525","74,432","232,418","23,896","641,248","16,095","182,932","321,544","443,698","47,716","50,076","119,603","27,488","89,148","24,702","26,537","533,102","39,230","106,963","72,651","23,041","59,483","35,426","20,060","369,102","17,105","26,631","44,896","17,364","21,025","247,471"
"    Own children of the householder under 6 years","1,177,259","16,210","96,090","10,868","4,700","3,596","7,730","4,125","4,039","15,516","56,879","9,090","175,955","3,182","43,184","81,671","69,529","11,972","15,416","28,566","6,446","30,447","6,351","N","131,103","8,223","30,724","35,877","5,591","12,458","10,522","5,065","90,060","5,032","4,525","8,777","N","5,640","60,106"
"        All parents in family in labor force","833,613","12,441","66,266","7,387","2,806","2,590","4,977","3,451","2,717","12,117","45,459","6,928","117,232","2,317","31,511","60,667","53,003","8,817","11,083","21,066","5,461","17,184","4,268","N","88,022","6,507","20,053","21,654","3,713","9,817","8,122","3,615","65,544","3,093","2,844","6,355","N","4,208","46,337"
"    Own children of the householder 6 to 17 years","2,547,357","36,896","200,032","23,547","10,377","9,198","16,346","11,836","9,108","36,475","123,949","15,590","353,456","8,443","99,686","202,712","132,975","27,806","30,784","62,498","12,959","67,933","14,331","N","271,953","20,392","70,886","62,301","12,361","30,481","21,393","13,150","203,961","10,933","8,660","19,042","N","11,906","141,289"
"        All parents in family in labor force","1,887,073","30,494","143,320","18,704","7,271","7,375","10,995","9,800","6,300","30,126","97,430","10,915","241,772","6,699","77,699","153,778","96,478","20,718","23,830","49,885","8,472","44,856","9,513","N","195,457","18,803","47,662","40,419","9,359","23,801","15,388","8,804","163,896","7,808","7,005","16,323","N","9,488","110,084"
"COMMUTING TO WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Workers 16 years and over","9,412,279","159,421","551,037","85,770","30,530","35,347","54,683","36,914","36,375","145,336","460,946","56,413","1,230,215","31,483","365,180","670,971","870,193","98,991","101,082","231,185","54,431","188,373","52,709","52,231","1,102,333","78,838","222,014","150,535","44,043","123,013","74,327","40,756","765,238","35,872","51,494","85,282","33,921","43,652","496,542"
